Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BDI,618,Burundi,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.74,0.81,1.75,11.86,7.53,7.87,1.19,4.95,15.09,8.25,3.58,14.09,12.03,6.69,5.62,7.06,7.4,10.46,-2.02,0.07,7.38,
CPV,624,Cabo Verde,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,5.07,0.42,1.74,3.08,1.37,1.02,0.64,1.13,0.37,1.38,1.6,1.14,-2.02,
KHM,522,Cambodia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,2.97,,,
CMR,622,Cameroon,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,2.41,3.01,0.6,0.87,1.15,2.39,1.69,
CAN,156,Canada,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.07,2.67,1.44,0.12,-2.42
TCD,628,Chad,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,7.45,-0.88,3.13,28.24,4.76,0.1,0.92,-0.19,0.37,
CHL,228,Chile,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.67,2.25,0.87,3.75,3.39,3.43,1.93,1.91,2.34,2.04,3.35
HKG,532,"China, P.R.: Hong Kong",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,1.34,2.98,0.18,1.4,3.82,3.33,2.7,2.66,1.24,1.46,1.37,1.89,1.62,,
MAC,546,"China, P.R.: Macao",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.67,-1.97,0.95,2.25,2.11,1.46,3.26,-0.22,3,5.71,4.14,2.1,2.46,2.25,3.1,2.24,3.68,,,
COL,233,Colombia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,2.79,2.79,2.16,2.6,4.05,6.24,5.58,3.6,2.81,3.07,1.48
